Season,Round,Day,Date,Time,Home_Team,Score,Away_Team,Attendance,Venue,Referee,Match_Report,Notes
2022-2023,Quarter-finals,Tue,2023-04-11,20:00,Manchester Cityeng,3–0,deBayern Munich,"52,257",Etihad Stadium,Jesús Gil,Match Report,Leg 1 of 2
2022-2023,Quarter-finals,Wed,2023-04-12,21:00,Milanit,1–0,itNapoli,"74,742",Stadio Giuseppe Meazza,István Kovács,Match Report,Leg 1 of 2
2022-2023,Quarter-finals,Wed,2023-04-12,21:00,Real Madrides,2–0,engChelsea,"63,142",Estadio Santiago Bernabéu,François Letexier,Match Report,Leg 1 of 2
2022-2023,Quarter-finals,Tue,2023-04-18,20:00,Chelseaeng,0–2,esReal Madrid,"39,453",Stamford Bridge,Daniele Orsato,Match Report,Leg 2 of 2; Real Madrid won
2022-2023,Quarter-finals,Tue,2023-04-18,21:00,Napoliit,1–1,itMilan,"52,728",Stadio Diego Armando Maradona,Szymon Marciniak,Match Report,Leg 2 of 2; Milan won
2022-2023,Quarter-finals,Wed,2023-04-19,21:00,Interit,3–3,ptBenfica,"75,380",Stadio Giuseppe Meazza,Carlos del Cerro,Match Report,Leg 2 of 2; Inter won
2022-2023,Quarter-finals,Wed,2023-04-19,21:00,Bayern Munichde,1–1,engManchester City,"75,000",Allianz Arena,Clément Turpin,Match Report,Leg 2 of 2; Manchester City won
2022-2023,Semi-finals,Tue,2023-05-09,21:00,Real Madrides,1–1,engManchester City,"63,485",Estadio Santiago Bernabéu,Artur Dias,Match Report,Leg 1 of 2
2022-2023,Semi-finals,Wed,2023-05-10,21:00,Milanit,0–2,itInter,"75,532",Stadio Giuseppe Meazza,Jesús Gil,Match Report,Leg 1 of 2
2022-2023,Semi-finals,Tue,2023-05-16,21:00,Interit,1–0,itMilan,"75,567",Stadio Giuseppe Meazza,Clément Turpin,Match Report,Leg 2 of 2; Inter won
2022-2023,Semi-finals,Wed,2023-05-17,20:00,Manchester Cityeng,4–0,esReal Madrid,"52,313",Etihad Stadium,Szymon Marciniak,Match Report,Leg 2 of 2; Manchester City won
